src-id,dst-id,label,properties
272,275,date-of-narration
116,119,date-of-narration
288,290,date-of-narration
24,29,date-of-narration
129,17,date-of-narration
253,170,date-of-narration
133,136,date-of-narration
282,275,date-of-narration
130,38,date-of-narration
271,213,date-of-narration
214,217,date-of-narration
186,189,date-of-narration
225,213,date-of-narration
82,87,date-of-narration
141,144,date-of-narration
175,176,date-of-narration
236,238,date-of-narration
14,17,date-of-narration
276,99,date-of-narration
266,176,date-of-narration
18,23,date-of-narration
195,38,date-of-narration
120,123,date-of-narration
56,66,date-of-narration
149,151,date-of-narration
241,246,date-of-narration
258,265,date-of-narration
171,161,date-of-narration
182,119,date-of-narration
35,38,date-of-narration
277,281,date-of-narration
88,17,date-of-narration
124,127,date-of-narration
76,17,date-of-narration
39,38,date-of-narration
207,209,date-of-narration
285,287,date-of-narration
105,104,date-of-narration
177,181,date-of-narration
152,87,date-of-narration
196,199,date-of-narration
200,38,date-of-narration
90,99,date-of-narration
30,34,date-of-narration
103,104,date-of-narration
219,222,date-of-narration
247,252,date-of-narration
167,170,date-of-narration
155,17,date-of-narration
201,17,date-of-narration
228,232,date-of-narration
137,140,date-of-narration
204,161,date-of-narration
115,114,date-of-narration
162,166,date-of-narration
109,114,date-of-narration
67,23,date-of-narration
203,23,date-of-narration
145,148,date-of-narration
174,17,date-of-narration
218,38,date-of-narration
267,87,date-of-narration
184,38,date-of-narration
190,161,date-of-narration
46,55,date-of-narration
100,102,date-of-narration
268,270,date-of-narration
210,213,date-of-narration
128,17,date-of-narration
223,224,date-of-narration
239,238,date-of-narration
158,161,date-of-narration
192,87,date-of-narration
46,47,narrator
175,40,narrator
174,117,narrator
24,25,narrator
282,283,narrator
190,191,narrator
196,197,narrator
35,36,narrator
253,168,narrator
192,41,narrator
39,40,narrator
56,57,narrator
116,117,narrator
218,131,narrator
149,150,narrator
258,259,narrator
184,185,narrator
268,47,narrator
271,226,narrator
195,41,narrator
239,240,narrator
1,2,narrator
247,36,narrator
130,131,narrator
210,211,narrator
39,41,narrator
158,159,narrator
182,183,narrator
152,153,narrator
204,205,narrator
90,91,narrator
186,187,narrator
219,220,narrator
141,142,narrator
266,40,narrator
272,273,narrator
276,91,narrator
288,289,narrator
82,83,narrator
145,146,narrator
155,156,narrator
120,121,narrator
241,242,narrator
124,125,narrator
236,237,narrator
225,226,narrator
162,163,narrator
267,83,narrator
285,286,narrator
137,138,narrator
200,131,narrator
30,31,narrator
167,168,narrator
171,172,narrator
214,215,narrator
177,178,narrator
162,164,place-of-narration
128,15,place-of-narration
247,248,place-of-narration
276,92,place-of-narration
90,50,place-of-narration
124,126,place-of-narration
182,118,place-of-narration
190,58,place-of-narration
239,48,place-of-narration
100,101,place-of-narration
109,110,place-of-narration
116,118,place-of-narration
171,173,place-of-narration
152,154,place-of-narration
39,42,place-of-narration
201,202,place-of-narration
175,42,place-of-narration
258,260,place-of-narration
24,26,place-of-narration
158,160,place-of-narration
210,212,place-of-narration
253,169,place-of-narration
204,206,place-of-narration
236,48,place-of-narration
184,42,place-of-narration
218,132,place-of-narration
14,15,place-of-narration
90,92,place-of-narration
130,132,place-of-narration
241,243,place-of-narration
174,3,place-of-narration
103,101,place-of-narration
200,132,place-of-narration
203,68,place-of-narration
67,68,place-of-narration
155,157,place-of-narration
276,50,place-of-narration
196,198,place-of-narration
225,227,place-of-narration
129,15,place-of-narration
35,3,place-of-narration
271,227,place-of-narration
149,126,place-of-narration
258,261,place-of-narration
137,139,place-of-narration
88,15,place-of-narration
115,110,place-of-narration
267,85,place-of-narration
268,49,place-of-narration
162,165,place-of-narration
145,147,place-of-narration
76,15,place-of-narration
268,269,place-of-narration
192,42,place-of-narration
282,284,place-of-narration
1,3,place-of-narration
195,42,place-of-narration
266,42,place-of-narration
285,216,place-of-narration
30,32,place-of-narration
56,58,place-of-narration
133,50,place-of-narration
247,122,place-of-narration
141,143,place-of-narration
105,101,place-of-narration
288,169,place-of-narration
167,169,place-of-narration
177,180,place-of-narration
219,221,place-of-narration
82,85,place-of-narration
46,48,place-of-narration
267,84,place-of-narration
120,122,place-of-narration
18,19,place-of-narration
177,179,place-of-narration
46,49,place-of-narration
46,50,place-of-narration
272,274,place-of-narration
214,216,place-of-narration
186,188,place-of-narration
207,208,place-of-narration
223,122,place-of-narration
82,84,place-of-narration
201,62,content
124,112,content
167,4,content
253,4,content
182,8,content
210,62,content
253,10,content
276,97,content
190,4,content
186,52,content
82,10,content
196,52,content
46,51,content
190,53,content
76,12,content
267,4,content
295,235,content
152,8,content
219,72,content
67,10,content
24,12,content
130,10,content
271,79,content
277,280,content
100,10,content
103,4,content
105,4,content
272,94,content
103,62,content
282,4,content
82,12,content
133,10,content
174,6,content
207,61,content
67,4,content
207,4,content
67,73,content
82,79,content
149,10,content
56,62,content
285,4,content
158,8,content
214,72,content
88,4,content
56,60,content
253,255,content
100,4,content
268,78,content
218,72,content
115,111,content
236,10,content
267,28,content
115,12,content
233,235,content
129,113,content
67,72,content
120,10,content
128,113,content
30,5,content
214,4,content
155,6,content
141,8,content
192,10,content
258,264,content
175,4,content
241,244,content
177,8,content
14,16,content
109,111,content
1,10,content
133,135,content
18,10,content
267,77,content
267,81,content
285,12,content
271,10,content
103,61,content
30,6,content
116,12,content
196,10,content
67,71,content
46,11,content
90,10,content
266,10,content
103,63,content
195,193,content
145,8,content
35,6,content
1,5,content
207,62,content
223,10,content
67,69,content
184,53,content
186,51,content
18,8,content
39,5,content
18,22,content
90,4,content
14,10,content
223,107,content
82,86,content
186,10,content
296,234,content
158,4,content
204,61,content
18,5,content
282,10,content
67,45,content
30,33,content
267,10,content
18,4,content
35,11,content
239,108,content
266,262,content
103,10,content
141,5,content
182,5,content
276,12,content
239,106,content
18,21,content
24,4,content
46,10,content
207,63,content
219,73,content
